STATISTIC Label,Quarter,Number of Bedrooms,Property Type,Location,UNIT,VALUE
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"I.F.S.C., Dublin 1",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Parnell Street, Dublin 1",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Spencer Dock, Dublin 1",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Summerhill, Dublin 1",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Dublin 2,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Aungier Street, Dublin 2",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Charlemont Street, Dublin 2",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Grand Canal Dock, Dublin 2",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Grand Canal Square, Dublin 2",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Hanover Quay, Dublin 2",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Lower Mount Street, Dublin 2",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Pearse Street, Dublin 2",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Tara Street, Dublin 2",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Temple Bar, Dublin 2",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Townsend Street, Dublin 2",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Dublin 3,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Clonliffe, Dublin 3",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Clontarf, Dublin 3",Euro,2520.93
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Drumcondra, Dublin 3",Euro,2259.39
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"East Wall, Dublin 3",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Eastwall, Dublin 3",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Fairview, Dublin 3",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Marino, Dublin 3",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"North Strand, Dublin 3",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Dublin 4,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Ballsbridge, Dublin 4",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Donnybrook, Dublin 4",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Irishtown, Dublin 4",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Merrion, Dublin 4",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Pembroke, Dublin 4",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Ringsend, Dublin 4",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Sandymount, Dublin 4",Euro,3423.81
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Dublin 5,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Artane, Dublin 5",Euro,2062.56
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Killester, Dublin 5",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Raheny, Dublin 5",Euro,1839.93
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Dublin 6,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Dartry, Dublin 6",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Harolds Cross, Dublin 6",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Milltown, Dublin 6",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Ranelagh, Dublin 6",Euro,3188.03
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Rathgar, Dublin 6",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Rathmines, Dublin 6",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Terenure, Dublin 6",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Dublin 6W,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Harolds Cross, Dublin 6W",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Templeogue, Dublin 6W",Euro,2163.94
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Terenure, Dublin 6W",Euro,2832.93
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Dublin 7,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Arbour Hill, Dublin 7",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Cabra, Dublin 7",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Navan Road, Dublin 7",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"North Circular Road, Dublin 7",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Phibsboro, Dublin 7",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Smithfield, Dublin 7",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Stoneybatter, Dublin 7",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Dublin 8,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Christchurch, Dublin 8",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Cork Street, Dublin 8",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Dolphins Barn, Dublin 8",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Inchicore, Dublin 8",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Islandbridge, Dublin 8",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Kilmainham , Dublin 8",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Portobello, Dublin 8",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Rialto, Dublin 8",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"South Circular Road, Dublin 8",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"The Coombe, Dublin 8",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Dublin 9,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Ballymun, Dublin 9",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Beaumont, Dublin 9",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Drumcondra, Dublin 9",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Glasnevin, Dublin 9",Euro,2139.15
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Santry, Dublin 9",Euro,2327.92
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Whitehall, Dublin 9",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Dublin 10,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Ballyfermot, Dublin 10",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Cherry Orchard, Dublin 10",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Dublin 11,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Ballymun, Dublin 11",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Finglas, Dublin 11",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Glasnevin, Dublin 11",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Meakstown, Dublin 11",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"St Margarets Road, Dublin 11",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Dublin 12,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Crumlin, Dublin 12",Euro,2128.39
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Drimnagh, Dublin 12",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Kimmage, Dublin 12",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Walkinstown, Dublin 12",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Dublin 13,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Baldoyle, Dublin 13",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Balgriffin, Dublin 13",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Clongriffin, Dublin 13",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Donaghmede, Dublin 13",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Sutton, Dublin 13",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Dublin 14,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Churchtown, Dublin 14",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Clonskeagh, Dublin 14",Euro,2520.56
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Dundrum, Dublin 14",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Goatstown, Dublin 14",Euro,2852.68
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Rathfarnham, Dublin 14",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Dublin 15,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Ashtown, Dublin 15",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Blanchardstown, Dublin 15",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Carpenterstown, Dublin 15",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Castleknock, Dublin 15",Euro,2096.42
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Clonee, Dublin 15",Euro,1899.21
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Clonsilla, Dublin 15",Euro,1801.88
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Coolmine, Dublin 15",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Mulhuddart, Dublin 15",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Ongar, Dublin 15",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Porterstown, Dublin 15",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Royal Canal Park, Dublin 15",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Tyrrelstown, Dublin 15",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Dublin 16,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Ballinteer, Dublin 16",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Dundrum, Dublin 16",Euro,2497.09
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Knocklyon, Dublin 16",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Rathfarnham, Dublin 16",Euro,2392.71
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Sandyford, Dublin 16",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Dublin 17,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Malahide Road, Dublin 17",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Northern Cross, Dublin 17",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Dublin 18,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Cabinteely, Dublin 18",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Carrickmines, Dublin 18",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Foxrock, Dublin 18",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Leopardstown, Dublin 18",Euro,2557.56
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Sandyford, Dublin 18",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Stepaside, Dublin 18",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Dublin 20,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Chapelizod, Dublin 20",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Palmerstown, Dublin 20",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Clondalkin, Dublin 22",Euro,1698.8
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Dublin 24,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Ballycullen, Dublin 24",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Citywest, Dublin 24",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Firhouse, Dublin 24",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Tallaght, Dublin 24",Euro,1828.15
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Galway,Euro,1476.13
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Galway City,Euro,1667.23
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Athenry, Galway",Euro,1106.39
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Ballinasloe, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Ballybane, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Ballybrit, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Barna, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Bohermore, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Claregalway, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Clifden, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Doughiska, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Gort, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Headford, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Knocknacarra, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Loughrea, Galway",Euro,1160.41
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Mervue, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Monivea, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Moycullen, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Newcastle, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Oranmore, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Oughterard, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Portumna, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Rahoon, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Renmore, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Roscam, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Salthill, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Tuam, Galway",Euro,1214.03
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Wellpark, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Woodquay, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Kerry,Euro,984.79
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Castleisland, Kerry",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Dingle, Kerry",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Kenmare, Kerry",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Killarney, Kerry",Euro,1062.77
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Killorglin, Kerry",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Listowel, Kerry",Euro,892.98
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Tralee, Kerry",Euro,1031.86
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Kildare,Euro,1587.83
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Kildare Town,Euro,1340.46
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Athy, Kildare",Euro,1190.51
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Castledermot, Kildare",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Celbridge, Kildare",Euro,1645.97
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Clane, Kildare",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Kilcock, Kildare",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Kilcullen, Kildare",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Kill, Kildare",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Leixlip, Kildare",Euro,1640.95
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Maynooth, Kildare",Euro,1771.03
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Monasterevin, Kildare",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Naas, Kildare",Euro,1818.51
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Newbridge, Kildare",Euro,1393.87
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Rathangan, Kildare",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Sallins, Kildare",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Kilkenny,Euro,1011.27
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Kilkenny City,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Callan, Kilkenny",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Castlecomer, Kilkenny",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Freshford, Kilkenny",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Kells, Kilkenny",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Thomastown, Kilkenny",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Laois,Euro,1057.43
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Mountmellick, Laois",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Mountrath, Laois",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Portarlington, Laois",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Portlaoise, Laois",Euro,1076.1
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Leitrim,Euro,787.94
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Carrick-On-Shannon, Leitrim",Euro,820.38
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Manorhamilton, Leitrim",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Limerick,Euro,1417.61
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Limerick City,Euro,1529.42
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Abbeyfeale, Limerick",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Annacotty, Limerick",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Castleconnell, Limerick",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Castletroy, Limerick",Euro,1997.62
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Corbally, Limerick",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Dock Road, Limerick",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Dooradoyle, Limerick",Euro,1330.28
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Glen, Limerick",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Kilmallock, Limerick",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Newcastle West, Limerick",Euro,947.77
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Old Cratloe Road, Limerick",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Raheen, Limerick",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Longford,Euro,883.04
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Longford Town,Euro,912.31
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Ballymahon, Longford",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Edgeworthstown, Longford",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Newtownforbes, Longford",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Louth,Euro,1339.43
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Ardee, Louth",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Drogheda, Louth",Euro,1459.64
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Dundalk, Louth",Euro,1313.55
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Louth Town,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Mayo,Euro,947.68
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Ballina, Mayo",Euro,901.31
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Ballinrobe, Mayo",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Ballyhaunis, Mayo",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Belmullet, Mayo",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Castlebar, Mayo",Euro,1083.79
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Charlestown, Mayo",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Claremorris, Mayo",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Foxford, Mayo",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Swinford, Mayo",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Westport, Mayo",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Meath,Euro,1433.82
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Ashbourne, Meath",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Athboy, Meath",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Bettystown, Meath",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Clonee, Meath",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Drogheda, Meath",Euro,1605.98
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Duleek, Meath",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Dunboyne, Meath",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Dunshaughlin, Meath",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Enfield, Meath",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Kells, Meath",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Laytown, Meath",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Navan, Meath",Euro,1416.47
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Ratoath, Meath",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Stamullen, Meath",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Trim, Meath",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Monaghan,Euro,860.29
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Ballybay, Monaghan",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Carrickmacross, Monaghan",Euro,945.49
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,"Castleblayney, Monaghan",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Monaghan Town,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,Semi detached house,Offaly,Euro,1017.64
